id,product_name,region,sales_amount,date,quantity,category,profit,customer_name,city,sub_category,discount,user_id
89,Keyboard,East,2123.53002929688,2026-01-19,1,Electronics,580.460021972656,Neha Arora,Hyderabad,Peripherals,14,90
90,Laptop,North,4519.72021484375,2025-02-08,4,Electronics,550.469970703125,Rahul Sharma,Delhi,Computing,15,91
92,Smartwatch,East,2792.169921875,2024-03-21,4,Office Supplies,800.570007324219,Amit Verma,Pune,Gadgets,17,93
93,Tablet,North,3228.63989257813,2024-09-14,1,Electronics,618.109985351563,Sneha Kapoor,Bangalore,Gadgets,18,94
96,Laptop,East,508.760009765625,2025-01-09,4,Electronics,80.2099990844727,Rahul Sharma,Mumbai,Computing,21,97
97,Smartwatch,West,-3568.35009765625,2025-12-30,1,Office Supplies,-697.929992675781,Priya Singh,Pune,Gadgets,22,98
99,Smartwatch,North,1279.36999511719,2025-03-12,3,Office Supplies,293.459991455078,Sneha Kapoor,Hyderabad,Gadgets,24,100
100,Headphones,South,2207.17993164063,2024-06-04,2,Electronics,327.339996337891,Rohit Mehta,Delhi,Accessories,5,1
101,Printer,South,2623.52001953125,2024-04-14,4,Office Supplies,571.950012207031,Neha Arora,Mumbai,Office Devices,6,2
102,Printer,Central,4540.5400390625,2025-03-15,5,Office Supplies,979.960021972656,Rahul Sharma,Pune,Office Devices,7,3
103,Headphones,North,4191.06982421875,2024-10-06,1,Electronics,1287.92004394531,Priya Singh,Bangalore,Accessories,8,4
104,Tablet,East,3191.06005859375,2025-04-21,1,Electronics,452.579986572266,Amit Verma,Hyderabad,Gadgets,9,5
107,Keyboard,South,499.119995117188,2025-01-27,4,Electronics,150.649993896484,Neha Arora,Pune,Peripherals,12,8
108,Mouse,South,1983.2099609375,2024-07-14,3,Electronics,218.509994506836,Rahul Sharma,Bangalore,Peripherals,13,9
111,Keyboard,East,2386.1201171875,2025-02-26,4,Electronics,563.840026855469,Sneha Kapoor,Mumbai,Peripherals,16,12
113,Smartwatch,East,2075.92993164063,2025-09-01,1,Office Supplies,461.640014648438,Neha Arora,Bangalore,Gadgets,18,14
115,Monitor,Central,3779.47998046875,2024-10-06,4,Office Supplies,894.049987792969,Priya Singh,Delhi,Computing,20,16
116,Headphones,North,3652.06005859375,2024-08-06,3,Electronics,648.349975585938,Amit Verma,Mumbai,Accessories,21,17
117,Keyboard,South,4459.41015625,2024-07-03,4,Electronics,1130.18005371094,Sneha Kapoor,Pune,Peripherals,22,18
118,Smartwatch,West,3270.919921875,2026-02-28,4,Office Supplies,849.47998046875,Rohit Mehta,Bangalore,Gadgets,23,19
119,Monitor,North,1835.65002441406,2024-11-26,5,Office Supplies,352.079986572266,Neha Arora,Hyderabad,Computing,24,20
120,Camera,West,4998.2001953125,2025-12-07,1,Office Supplies,1306.26000976563,Rahul Sharma,Delhi,Imaging,5,21
121,Mouse,West,4872.5400390625,2025-05-30,5,Electronics,1563.75,Priya Singh,Mumbai,Peripherals,6,22
123,Headphones,North,2543.73999023438,2025-05-19,4,Electronics,851.469970703125,Sneha Kapoor,Bangalore,Accessories,8,24
124,Monitor,South,4099.02978515625,2024-06-02,2,Office Supplies,1071.71997070313,Rohit Mehta,Hyderabad,Computing,9,25
126,Camera,Central,4373.08984375,2026-02-20,4,Office Supplies,991.109985351563,Rahul Sharma,Mumbai,Imaging,11,27
127,Monitor,West,3475.10009765625,2024-12-21,3,Office Supplies,840.299987792969,Priya Singh,Pune,Computing,12,28
128,Laptop,North,4705.25,2026-01-11,5,Electronics,943.150024414063,Amit Verma,Bangalore,Computing,13,29
129,Printer,South,2263.47998046875,2025-03-22,5,Office Supplies,347.700012207031,Sneha Kapoor,Hyderabad,Office Devices,14,30
130,Headphones,East,2330.5,2025-03-11,5,Electronics,791.969970703125,Rohit Mehta,Delhi,Accessories,15,31
132,Smartwatch,Central,3479.47998046875,2025-07-30,4,Office Supplies,353.540008544922,Rahul Sharma,Pune,Gadgets,17,33
133,Laptop,North,2133.6201171875,2024-04-08,1,Electronics,245.789993286133,Priya Singh,Bangalore,Computing,18,34
134,Smartwatch,South,3048.82006835938,2025-08-09,5,Office Supplies,552.590026855469,Amit Verma,Hyderabad,Gadgets,19,35
135,Laptop,East,958.080017089844,2025-07-10,2,Electronics,297.040008544922,Sneha Kapoor,Delhi,Computing,20,36
137,Laptop,Central,2694.06005859375,2025-10-13,3,Electronics,914.130004882813,Neha Arora,Pune,Computing,22,38
138,Keyboard,East,4117.740234375,2025-07-26,4,Electronics,1404.23999023438,Rahul Sharma,Bangalore,Peripherals,23,39
146,Laptop,West,4168.5,2025-01-24,2,Electronics,1209.61999511719,Amit Verma,Mumbai,Computing,11,47
147,Printer,West,270.510009765625,2025-06-03,4,Office Supplies,44.310001373291,Sneha Kapoor,Pune,Office Devices,12,48
150,Monitor,Central,4209.919921875,2025-05-12,4,Office Supplies,1442.57995605469,Rahul Sharma,Delhi,Computing,15,51
151,Keyboard,North,3916.21997070313,2024-02-09,2,Electronics,963.570007324219,Priya Singh,Mumbai,Peripherals,16,52
152,Headphones,West,4908.27001953125,2025-01-18,5,Electronics,849.690002441406,Amit Verma,Pune,Accessories,17,53
153,Mouse,South,116.319999694824,2025-06-18,1,Electronics,26.9799995422363,Sneha Kapoor,Bangalore,Peripherals,18,54
154,Laptop,Central,4865.490234375,2024-06-05,1,Electronics,804.049987792969,Rohit Mehta,Hyderabad,Computing,19,55
157,Headphones,Central,3805.60009765625,2026-02-14,5,Electronics,594.890014648438,Priya Singh,Pune,Accessories,22,58
159,Tablet,South,121.650001525879,2025-08-10,4,Electronics,40.4000015258789,Sneha Kapoor,Hyderabad,Gadgets,24,60
160,Camera,West,4640.41015625,2025-02-26,5,Office Supplies,792.969970703125,Rohit Mehta,Delhi,Imaging,5,61
161,Headphones,West,4301.0,2024-11-25,4,Electronics,1154.38000488281,Neha Arora,Mumbai,Accessories,6,62
163,Keyboard,West,1988.34997558594,2024-03-15,3,Electronics,623.390014648438,Priya Singh,Bangalore,Peripherals,8,64
166,Smartwatch,Central,3068.830078125,2026-01-31,4,Office Supplies,784.669982910156,Rohit Mehta,Mumbai,Gadgets,11,67
167,Laptop,South,527.719970703125,2025-11-21,5,Electronics,59.5800018310547,Neha Arora,Pune,Computing,12,68
168,Headphones,North,3090.14990234375,2025-08-09,2,Electronics,517.820007324219,Rahul Sharma,Bangalore,Accessories,13,69
169,Keyboard,West,778.109985351563,2024-11-23,1,Electronics,201.899993896484,Priya Singh,Hyderabad,Peripherals,14,70
170,Tablet,East,2028.56005859375,2026-03-03,4,Electronics,226.509994506836,Amit Verma,Delhi,Gadgets,15,71
171,Monitor,East,2184.34008789063,2025-03-29,4,Office Supplies,502.100006103516,Sneha Kapoor,Mumbai,Computing,16,72
172,Smartwatch,South,2199.90991210938,2024-06-01,5,Office Supplies,247.490005493164,Rohit Mehta,Pune,Gadgets,17,73
173,Keyboard,North,2362.7099609375,2025-10-28,4,Electronics,582.609985351563,Neha Arora,Bangalore,Peripherals,18,74
174,Laptop,South,1918.14001464844,2025-11-12,2,Electronics,296.440002441406,Rahul Sharma,Hyderabad,Computing,19,75
176,Mouse,West,4369.1201171875,2024-11-01,4,Electronics,832.369995117188,Amit Verma,Mumbai,Peripherals,21,77
178,Printer,East,4480.5,2024-03-26,5,Office Supplies,995.909973144531,Rohit Mehta,Bangalore,Office Devices,23,79
179,Smartwatch,South,2501.3798828125,2026-02-20,5,Office Supplies,406.329986572266,Neha Arora,Hyderabad,Gadgets,24,80
180,Laptop,Central,2618.43994140625,2024-07-24,4,Electronics,821.419982910156,Rahul Sharma,Delhi,Computing,5,81
181,Smartwatch,Central,1355.68005371094,2024-09-02,5,Office Supplies,470.390014648438,Priya Singh,Mumbai,Gadgets,6,82
182,Camera,West,2032.86999511719,2025-06-08,3,Office Supplies,494.5,Amit Verma,Pune,Imaging,7,83
183,Headphones,Central,2532.51000976563,2024-03-13,4,Electronics,326.529998779297,Sneha Kapoor,Bangalore,Accessories,8,84
184,Laptop,West,3361.38989257813,2026-02-16,2,Electronics,437.790008544922,Rohit Mehta,Hyderabad,Computing,9,85
186,Camera,North,846.070007324219,2024-05-15,5,Office Supplies,255.470001220703,Rahul Sharma,Mumbai,Imaging,11,87
188,Mouse,North,1506.07995605469,2025-11-18,5,Electronics,466.670013427734,Amit Verma,Bangalore,Peripherals,13,89
189,Headphones,South,1564.89001464844,2025-07-29,1,Electronics,422.399993896484,Sneha Kapoor,Hyderabad,Accessories,14,90
190,Tablet,South,3918.44995117188,2025-01-15,2,Electronics,691.97998046875,Rohit Mehta,Delhi,Gadgets,15,91
191,Camera,North,2184.52001953125,2024-03-18,1,Office Supplies,362.200012207031,Neha Arora,Mumbai,Imaging,16,92
193,Mouse,South,1102.93005371094,2025-09-07,1,Electronics,172.639999389648,Priya Singh,Bangalore,Peripherals,18,94
194,Smartwatch,East,2103.8798828125,2025-08-17,3,Office Supplies,390.029998779297,Amit Verma,Hyderabad,Gadgets,19,95
195,Laptop,West,1910.73999023438,2024-05-08,4,Electronics,450.820007324219,Sneha Kapoor,Delhi,Computing,20,96
197,Printer,Central,3791.15991210938,2025-03-17,5,Office Supplies,750.690002441406,Neha Arora,Pune,Office Devices,22,98
198,Headphones,Central,2269.15991210938,2025-06-18,2,Electronics,445.839996337891,Rahul Sharma,Bangalore,Accessories,23,99
201,Camera,North,4314.6201171875,2025-10-09,1,Office Supplies,1080.66003417969,Sneha Kapoor,Mumbai,Imaging,6,2
202,Laptop,South,2047.38000488281,2024-08-01,5,Electronics,304.779998779297,Rohit Mehta,Pune,Computing,7,3
204,Printer,East,1467.42004394531,2024-06-27,3,Office Supplies,472.989990234375,Rahul Sharma,Hyderabad,Office Devices,9,5
206,Camera,East,148.210006713867,2025-06-14,3,Office Supplies,26.2000007629395,Amit Verma,Mumbai,Imaging,11,7
207,Camera,East,1594.85998535156,2025-11-12,3,Office Supplies,468.850006103516,Sneha Kapoor,Pune,Imaging,12,8
209,Printer,Central,3898.64990234375,2025-11-25,1,Office Supplies,795.820007324219,Neha Arora,Hyderabad,Office Devices,14,10
210,Smartwatch,South,882.52001953125,2025-12-12,5,Office Supplies,147.360000610352,Rahul Sharma,Delhi,Gadgets,15,11
213,Keyboard,South,2879.23999023438,2024-11-04,3,Electronics,510.0,Sneha Kapoor,Bangalore,Peripherals,18,14
214,Headphones,Central,1595.39001464844,2024-06-11,3,Electronics,369.850006103516,Rohit Mehta,Hyderabad,Accessories,19,15
216,Headphones,East,3140.09008789063,2024-06-03,1,Electronics,325.269989013672,Rahul Sharma,Mumbai,Accessories,21,17
217,Monitor,Central,897.97998046875,2024-07-12,5,Office Supplies,116.440002441406,Priya Singh,Pune,Computing,22,18
219,Laptop,South,1184.14001464844,2025-05-26,2,Electronics,257.459991455078,Sneha Kapoor,Hyderabad,Computing,24,20
224,Laptop,South,210.759994506836,2025-10-27,4,Electronics,24.8400001525879,Amit Verma,Hyderabad,Computing,9,25
227,Mouse,North,220.25,2026-02-22,3,Electronics,65.4300003051758,Neha Arora,Pune,Peripherals,12,28
229,Laptop,Central,540.849975585938,2025-01-04,4,Electronics,109.73999786377,Priya Singh,Hyderabad,Computing,14,30
230,Mouse,North,3009.15991210938,2024-05-01,2,Electronics,1010.04998779297,Amit Verma,Delhi,Peripherals,15,31
231,Headphones,West,4599.41015625,2024-03-09,4,Electronics,1521.66003417969,Sneha Kapoor,Mumbai,Accessories,16,32
232,Monitor,South,3833.8798828125,2024-09-07,1,Office Supplies,877.789978027344,Rohit Mehta,Pune,Computing,17,33
233,Smartwatch,East,3497.52001953125,2024-04-26,3,Office Supplies,901.570007324219,Neha Arora,Bangalore,Gadgets,18,34
235,Printer,East,410.540008544922,2025-11-19,3,Office Supplies,62.3199996948242,Priya Singh,Delhi,Office Devices,20,36
237,Tablet,East,4386.4599609375,2025-09-16,5,Electronics,1456.09997558594,Sneha Kapoor,Pune,Gadgets,22,38
238,Laptop,West,2978.1201171875,2024-04-30,1,Electronics,563.409973144531,Rohit Mehta,Bangalore,Computing,23,39
240,Mobile,North,3423.61010742188,2024-11-20,4,Office Supplies,781.169982910156,Rahul Sharma,Delhi,Gadgets,5,41
242,Headphones,South,-3597.919921875,2024-07-29,1,Electronics,-1015.28002929688,Amit Verma,Pune,Accessories,7,43
244,Smartwatch,South,519.869995117188,2026-06-03,5,Office Supplies,102.190002441406,Rohit Mehta,Hyderabad,Gadgets,9,45
245,Mouse,North,930.169982910156,2026-02-11,1,Electronics,145.059997558594,Neha Arora,Delhi,Peripherals,10,46
246,Laptop,South,2138.19995117188,2025-10-29,4,Electronics,689.940002441406,Rahul Sharma,Mumbai,Computing,11,47
247,Printer,East,535.010009765625,2025-07-04,5,Office Supplies,68.7399978637695,Priya Singh,Pune,Office Devices,12,48
251,Headphones,South,1869.86999511719,2024-12-15,4,Electronics,441.510009765625,Neha Arora,Mumbai,Accessories,16,52
254,Mobile,South,2952.14990234375,2024-08-11,4,Office Supplies,377.179992675781,Amit Verma,Hyderabad,Gadgets,19,55
255,Mouse,East,1193.06005859375,2025-01-23,3,Electronics,308.179992675781,Sneha Kapoor,Delhi,Peripherals,20,56
256,Camera,East,3678.06005859375,2025-05-10,5,Office Supplies,1099.59997558594,Rohit Mehta,Mumbai,Imaging,21,57
257,Mobile,North,351.579986572266,2024-04-03,3,Office Supplies,123.019996643066,Neha Arora,Pune,Gadgets,22,58
259,Tablet,South,4295.47998046875,2025-07-10,5,Electronics,1095.05004882813,Priya Singh,Hyderabad,Gadgets,24,60
260,Tablet,North,3281.3798828125,2026-02-18,3,Electronics,464.920013427734,Amit Verma,Delhi,Gadgets,5,61
261,Mobile,West,2186.30004882813,2024-11-23,1,Office Supplies,303.369995117188,Sneha Kapoor,Mumbai,Gadgets,6,62
262,Printer,South,575.080017089844,2025-08-07,1,Office Supplies,65.6900024414063,Rohit Mehta,Pune,Office Devices,7,63
263,Printer,North,1651.78002929688,2024-04-07,4,Office Supplies,556.719970703125,Neha Arora,Bangalore,Office Devices,8,64
264,Keyboard,North,4657.1298828125,2025-11-07,4,Electronics,1479.0400390625,Rahul Sharma,Hyderabad,Peripherals,9,65
266,Headphones,North,4568.4599609375,2024-07-05,2,Electronics,530.830017089844,Amit Verma,Mumbai,Accessories,11,67
268,Keyboard,West,4385.18994140625,2025-10-07,5,Electronics,494.459991455078,Rohit Mehta,Bangalore,Peripherals,13,69
269,Keyboard,North,3610.0,2024-08-26,1,Electronics,552.77001953125,Neha Arora,Hyderabad,Peripherals,14,70
270,Camera,Central,3133.32006835938,2026-01-28,1,Office Supplies,935.780029296875,Rahul Sharma,Delhi,Imaging,15,71
272,Tablet,East,2472.2900390625,2025-02-12,2,Electronics,594.630004882813,Amit Verma,Pune,Gadgets,17,73
273,Keyboard,North,1188.9599609375,2024-10-31,2,Electronics,280.630004882813,Sneha Kapoor,Bangalore,Peripherals,18,74
274,Keyboard,South,1707.68994140625,2024-10-31,5,Electronics,493.519989013672,Rohit Mehta,Hyderabad,Peripherals,19,75
278,Mobile,East,3824.580078125,2024-10-05,2,Office Supplies,1199.40002441406,Amit Verma,Bangalore,Gadgets,23,79
279,Headphones,Central,3442.36010742188,2025-06-19,4,Electronics,1069.05004882813,Sneha Kapoor,Hyderabad,Accessories,24,80
281,Smartwatch,South,-2241.47998046875,2024-09-03,5,Office Supplies,-579.27001953125,Neha Arora,Mumbai,Gadgets,6,82
282,Tablet,East,3947.6201171875,2025-05-21,5,Electronics,1267.43005371094,Rahul Sharma,Pune,Gadgets,7,83
285,Printer,North,4402.14013671875,2024-06-03,3,Office Supplies,735.97998046875,Sneha Kapoor,Delhi,Office Devices,10,86
287,Printer,North,793.150024414063,2024-07-28,3,Office Supplies,137.5,Neha Arora,Pune,Office Devices,12,88
289,Laptop,Central,4283.830078125,2025-07-27,1,Electronics,1117.16003417969,Priya Singh,Hyderabad,Computing,14,90
292,Monitor,North,3132.02001953125,2025-11-17,2,Office Supplies,605.119995117188,Rohit Mehta,Pune,Computing,17,93
293,Headphones,East,4444.9599609375,2024-05-07,3,Electronics,550.0,Neha Arora,Bangalore,Accessories,18,94
294,Smartwatch,Central,1206.18994140625,2024-09-10,3,Office Supplies,238.389999389648,Rahul Sharma,Hyderabad,Gadgets,19,95
295,Mobile,West,4281.18017578125,2024-06-29,4,Office Supplies,1246.67004394531,Priya Singh,Delhi,Gadgets,20,96
296,Mobile,East,533.719970703125,2025-10-01,5,Office Supplies,183.330001831055,Amit Verma,Mumbai,Gadgets,21,97
297,Smartwatch,East,4835.14013671875,2024-12-22,3,Office Supplies,1534.34997558594,Sneha Kapoor,Pune,Gadgets,22,98
298,Headphones,North,3765.56005859375,2026-07-03,4,Electronics,1176.92004394531,Rohit Mehta,Bangalore,Accessories,23,99
299,Camera,Central,317.660003662109,2024-08-21,2,Office Supplies,49.75,Neha Arora,Hyderabad,Imaging,24,100
300,Mouse,West,3670.46997070313,2025-04-10,3,Electronics,1234.65002441406,Rahul Sharma,Delhi,Peripherals,5,1
301,Mobile,West,2515.67993164063,2024-10-18,3,Office Supplies,531.719970703125,Priya Singh,Mumbai,Gadgets,6,2
302,Keyboard,Central,920.609985351563,2025-11-04,3,Electronics,238.869995117188,Amit Verma,Pune,Peripherals,7,3
303,Camera,Central,2294.52001953125,2024-05-10,2,Office Supplies,701.799987792969,Sneha Kapoor,Bangalore,Imaging,8,4
304,Tablet,North,3954.21997070313,2024-12-09,1,Electronics,1284.82995605469,Rohit Mehta,Hyderabad,Gadgets,9,5
305,Mobile,North,315.950012207031,2025-11-22,5,Office Supplies,44.7900009155273,Neha Arora,Delhi,Gadgets,10,6
308,Smartwatch,South,4725.9501953125,2024-08-09,2,Office Supplies,1308.32995605469,Amit Verma,Bangalore,Gadgets,13,9
310,Smartwatch,West,2161.05004882813,2025-02-05,3,Office Supplies,417.760009765625,Rohit Mehta,Delhi,Gadgets,15,11
311,Monitor,Central,1591.43005371094,2025-10-18,1,Office Supplies,254.639999389648,Neha Arora,Mumbai,Computing,16,12
313,Headphones,East,1849.78002929688,2025-07-24,1,Electronics,633.369995117188,Priya Singh,Bangalore,Accessories,18,14
314,Headphones,Central,2866.17993164063,2024-07-30,3,Electronics,977.510009765625,Amit Verma,Hyderabad,Accessories,19,15
315,Mouse,South,1508.28002929688,2024-04-24,1,Electronics,291.899993896484,Sneha Kapoor,Delhi,Peripherals,20,16
318,Smartwatch,South,4893.14990234375,2025-01-13,4,Office Supplies,1240.43005371094,Rahul Sharma,Bangalore,Gadgets,23,19
319,Mobile,East,3904.73999023438,2025-03-18,5,Office Supplies,545.719970703125,Priya Singh,Hyderabad,Gadgets,24,20
320,Tablet,Central,1983.07995605469,2025-01-21,3,Electronics,295.25,Amit Verma,Delhi,Gadgets,5,21
321,Tablet,South,2977.15991210938,2024-10-27,2,Electronics,546.679992675781,Sneha Kapoor,Mumbai,Gadgets,6,22
322,Tablet,West,647.039978027344,2025-03-11,5,Electronics,83.4400024414063,Rohit Mehta,Pune,Gadgets,7,23
323,Tablet,Central,3583.84008789063,2024-11-16,2,Electronics,834.369995117188,Neha Arora,Bangalore,Gadgets,8,24
325,Printer,Central,4096.7001953125,2025-04-13,3,Office Supplies,654.179992675781,Priya Singh,Delhi,Office Devices,10,26
326,Keyboard,Central,4072.0400390625,2024-09-21,2,Electronics,815.570007324219,Amit Verma,Mumbai,Peripherals,11,27
327,Tablet,Central,119.069999694824,2026-03-04,4,Electronics,40.5499992370605,Sneha Kapoor,Pune,Gadgets,12,28
328,Camera,South,1774.16003417969,2024-11-18,2,Office Supplies,260.559997558594,Rohit Mehta,Bangalore,Imaging,13,29
329,Keyboard,East,4651.02978515625,2025-03-04,2,Electronics,857.869995117188,Neha Arora,Hyderabad,Peripherals,14,30
330,Camera,West,1271.28002929688,2025-07-06,4,Office Supplies,301.130004882813,Rahul Sharma,Delhi,Imaging,15,31
